IATA,Airport Name,Latitude,Longitude
ABQ,Albuquerque International Sunport,35.039976,-106.608925
ATL,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101
AUS,Austin Bergstrom International Airport,30.197535,-97.662015
BDL,Bradley International Airport,41.93851,-72.688066
BNA,Nashville International Airport,36.1245,-86.6782
BOS,Logan International Airport,42.36197,-71.0079
BUR,Hollywood Burbank Airport,34.197703,-118.356378
BWI,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297
CHS,Charleston International Airport,32.898602,-80.040497
CLE,Cleveland Hopkins International Airport,41.411701,-81.8498
CLT,Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594
CMH,John Glenn Columbus International Airport,39.998001,-82.891899
CVG,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801
DAL,Dallas Love Field,32.847099,-96.851799
DCA,Ronald Reagan Washington National Airport,38.8521,-77.037697
DEN,Denver International Airport,39.861698150635,-104.672996521
DFW,Dallas Fort Worth International Airport,32.896801,-97.038002
DTW,Detroit Metropolitan Wayne County Airport,42.21377,-83.353786
EWR,Newark Liberty International Airport,40.692501,-74.168701
FLL,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702
HOU,William P Hobby Airport,29.645399,-95.2789
IAD,Washington Dulles International Airport,38.9445,-77.455803
IAH,George Bush Intercontinental Houston Airport,29.984399795532227,-95.34140014648438
IND,Indianapolis International Airport,39.7173,-86.294403
JAX,Jacksonville International Airport,30.492469,-81.687813
JFK,John F Kennedy International Airport,40.639447,-73.779317
LAS,Harry Reid International Airport,36.083361,-115.151817
LAX,Los Angeles International Airport,33.942501,-118.407997
LGA,LaGuardia Airport,40.777199,-73.872597
MCI,Kansas City International Airport,39.2976,-94.713898
MCO,Orlando International Airport,28.429399490356445,-81.30899810791016
MDW,Chicago Midway International Airport,41.785999,-87.752403
MIA,Miami International Airport,25.79319953918457,-80.29060363769531
MKE,General Mitchell International Airport,42.947201,-87.896599
MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.880081,-93.221741
MSY,Louis Armstrong New Orleans International Airport,29.993401,-90.258003
OAK,San Francisco Bay Oakland International Airport,37.720085,-122.221184
OMA,Eppley Airfield,41.3032,-95.894096
ONT,Ontario International Airport,34.056,-117.600998
ORD,Chicago O'Hare International Airport,41.9786,-87.9048
PBI,Palm Beach International Airport,26.683201,-80.095596
PDX,Portland International Airport,45.588699,-122.598
PHL,Philadelphia International Airport,39.871899,-75.241096
PHX,Phoenix Sky Harbor International Airport,33.435302,-112.005905
PIT,Pittsburgh International Airport,40.491501,-80.232903
RDU,Raleigh Durham International Airport,35.877602,-78.787498
RNO,Reno Tahoe International Airport,39.4991,-119.767998
RSW,Southwest Florida International Airport,26.53619956970215,-81.75520324707031
SAN,San Diego International Airport,32.7336006165,-117.190002441
SAT,San Antonio International Airport,29.533701,-98.469803
SEA,Seattle–Tacoma International Airport,47.447943,-122.310276
SFO,San Francisco International Airport,37.619806,-122.374821
SJC,Norman Y. Mineta San Jose International Airport,37.362452,-121.929188
SLC,Salt Lake City International Airport,40.78886,-111.979866
SMF,Sacramento International Airport,38.6954,-121.591003
SNA,John Wayne Orange County International Airport,33.675701,-117.867996
STL,St. Louis Lambert International Airport,38.748697,-90.370003
TPA,Tampa International Airport,27.9755,-82.533203
ANC,Ted Stevens Anchorage International Airport,61.179004,-149.992561
KOA,Ellison Onizuka Kona International Airport at Keahole,19.738783,-156.045603
LIH,Lihue Airport,21.976,-159.339005
HNL,Daniel K Inouye International Airport,21.32062,-157.924228
OGG,Kahului International Airport,20.896263,-156.431837
SJU,Luis Munoz Marin International Airport,18.4394,-66.001801
